consumerid,choice,value_total,pg_km_adj,pgmidgrade_km_adj,pe_km_adj,dv_ctb,dv_bh,dv_rec,dv_female,dv_age_25to40y,dv_age_morethan65y,dv_somesecondary,dv_somecollege,dv_carpriceadj_p75p100,dv_usageveh_p75p100,stationvisit_avgcarprice_adj
80,3,30,.3425696,.3552621,.3540299,0,0,0,0,1,0,0,1,1,0,30.77617
81,3,20,.2816149,.2920489,.2921993,0,0,0,1,1,0,0,1,0,0,30.77617
82,1,75.52,.26796,.2778882,.2767986,0,0,0,1,0,0,0,1,0,0,30.77617
83,1,20,.3319094,.344207,.3490743,0,0,0,0,0,0,0,1,0,0,30.77617
84,3,114.01,.2961492,.3071218,.3041268,0,0,0,1,1,0,0,1,0,0,30.77617
85,3,37.98,.2535174,.2629104,.2591988,0,0,0,0,0,1,0,1,0,0,30.77617
86,2,50,.2633862,.2731449,.2668426,0,0,0,1,1,0,0,1,0,0,30.77617
87,3,10,.2641398,.2739264,.2726967,0,0,0,0,1,0,0,1,0,0,30.77617
88,1,55,.281496,.2919257,.2851308,0,0,0,0,1,0,0,0,1,0,30.77617
89,1,142.7,.2815204,.291951,.2935097,0,0,0,1,1,0,0,1,1,1,30.77617
90,3,20,.2561046,.2655935,.2593217,0,0,0,0,1,0,0,1,0,0,30.77617
127,1,90,.3482594,.3484918,.3862977,0,0,0,0,0,0,0,1,1,0,33.59273
128,1,100,.3861676,.3864253,.4437045,0,0,0,1,0,0,0,1,1,0,33.59273
129,1,10,.3667707,.3670154,.4126566,0,0,0,0,1,0,0,1,1,0,33.59273
130,1,97,.3129568,.3131656,.3427578,0,0,0,0,0,0,0,1,0,0,33.59273
131,3,100,.3723431,.3725916,.4269239,0,0,0,1,1,0,0,1,0,1,33.59273
132,1,20,.273967,.2741498,.3051503,0,0,0,0,0,0,0,1,0,1,33.59273
133,1,60,.3224509,.3226661,.3639688,0,0,0,1,0,0,0,1,0,0,33.59273
134,1,12,.3063611,.3065655,.3454426,0,0,0,0,1,0,0,1,0,0,33.59273
135,3,40,.3000143,.3002145,.3468397,0,0,0,1,0,0,0,1,0,0,33.59273
136,1,40,.2953418,.2955389,.3340381,0,0,0,0,0,0,0,1,1,0,33.59273
137,1,80,.3000269,.3002271,.3394883,0,0,0,1,0,0,0,1,1,1,33.59273
138,1,134.84,.3976128,.3978781,.4482136,0,0,0,0,0,0,0,1,1,0,33.59273
139,3,30,.3303473,.3305677,.3711534,0,0,0,1,1,0,1,0,0,0,33.59273
140,2,20,.3511228,.3513571,.4039984,0,0,0,0,1,0,1,0,0,0,33.59273
141,1,50,.3244442,.3246607,.3568641,0,0,0,0,0,0,0,1,1,1,33.59273
143,1,100,.3174893,.3177012,.3558774,0,0,0,0,0,1,0,1,1,0,33.59273
144,1,30,.3325656,.3327875,.367988,0,0,0,0,0,0,0,1,0,0,33.59273
181,3,30,.3331097,.344217,.3435324,0,0,0,0,1,0,1,0,0,0,31.5279
182,1,50,.3234261,.3342106,.324391,0,0,0,0,1,0,0,1,0,0,31.5279
183,1,50,.3348713,.3460374,.3358614,0,0,0,0,1,0,1,0,0,0,31.5279
184,1,50,.3225451,.3333002,.3253492,0,0,0,1,0,0,1,0,1,0,31.5279
185,2,35,.2898374,.2995018,.2760283,0,0,0,1,1,0,0,1,0,0,31.5279
186,1,40,.3756276,.3881527,.3865521,0,0,0,1,1,0,1,0,0,0,31.5279
187,1,50,.3184228,.3290404,.3192979,0,0,0,0,1,0,0,1,0,0,31.5279
188,1,50,.4523259,.4674084,.4544176,0,0,0,0,1,0,1,0,0,0,31.5279
189,1,58,.295911,.305778,.3053016,0,0,0,1,0,0,0,1,1,0,31.5279
190,3,40,.3019547,.3120232,.3030124,0,0,0,0,1,0,0,1,0,1,31.5279
191,3,100,.3394755,.3507951,.3409201,0,0,0,0,1,0,0,1,1,0,31.5279
192,1,100,.2970912,.3069975,.3095424,0,0,0,0,0,0,0,1,0,0,31.5279
193,2,150,.3305677,.3415903,.3388651,0,0,0,1,0,0,0,1,0,0,31.5279
194,1,30,.2970912,.3069975,.3095424,0,0,0,1,0,0,0,1,0,0,31.5279
195,1,146,.5316531,.5493808,.5545039,0,0,0,1,1,0,0,1,1,0,31.5279
196,1,50,.4826794,.4987741,.5005421,0,0,0,0,0,0,0,1,1,0,31.5279
197,1,20,.3533979,.3651818,.359615,0,0,0,0,1,0,0,1,0,0,31.5279
198,3,100,.3135719,.3240278,.3143622,0,0,0,1,1,0,0,1,0,0,31.5279
235,3,50,.2680157,.2781716,.2756497,0,0,0,0,1,0,0,1,0,0,28.26698
236,1,92,.2778313,.2883592,.2727351,0,0,0,1,1,0,0,1,0,0,28.26698
237,1,100,.3591757,.372786,.3282962,0,0,0,0,0,0,0,1,1,1,28.26698
238,1,80,.2817622,.2924391,.2871549,0,0,0,0,1,0,1,0,0,0,28.26698
239,3,40,.2581345,.2679161,.2521891,0,0,0,0,1,0,0,1,0,0,28.26698
240,1,92,.2570801,.2668217,.2523357,0,0,0,1,0,0,0,1,0,0,28.26698
241,3,20,.2580408,.2678189,.2529453,0,0,0,0,0,0,0,1,0,1,28.26698
242,3,20,.2778583,.2883873,.2743199,0,0,0,0,0,0,1,0,0,0,28.26698
243,1,80,.2633048,.2732823,.2641841,0,0,0,0,1,0,0,1,0,0,28.26698
244,3,50,.2902384,.3012365,.3033181,0,0,0,0,1,0,0,1,0,0,28.26698
245,1,50,.279551,.2901441,.2802316,0,0,0,0,1,0,0,1,0,0,28.26698
246,1,50,.2961977,.3074217,.315315,0,0,0,1,1,0,0,1,0,0,28.26698
247,1,20,.2761864,.286652,.2875978,0,0,0,0,1,0,0,1,0,1,28.26698
248,1,15,.2833062,.2940416,.2884956,0,0,0,0,1,0,0,1,0,0,28.26698
249,1,20,.2691993,.2794001,.2736309,0,0,0,0,1,0,0,1,0,0,28.26698
250,3,20,.2761864,.286652,.2875978,0,0,0,0,0,0,0,1,0,0,28.26698
251,1,60,.2512812,.260803,.2490188,0,0,0,1,1,0,0,1,0,0,28.26698
252,1,40,.2817622,.2924391,.2871549,0,0,0,0,1,0,1,0,0,0,28.26698
289,3,39,.2737764,.2888246,.2735815,0,0,0,1,1,0,0,1,0,1,32.27898
290,1,20,.2598509,.2741336,.2490188,0,0,0,0,0,0,0,1,0,1,32.27898
291,3,50,.2631871,.2776532,.2485923,0,0,0,0,1,0,0,1,0,1,32.27898
292,1,25,.2562953,.2703826,.2455112,0,0,0,0,0,0,1,0,0,0,32.27898
293,3,70,.3004704,.3169858,.2856006,0,0,0,0,0,0,0,1,0,1,32.27898
294,1,85.7,.3642029,.3842213,.322227,0,0,0,1,1,0,0,1,1,1,32.27898
295,1,35,.2631871,.2776532,.2485923,0,0,0,0,0,0,0,1,0,1,32.27898
296,2,95,.2980937,.3144785,.283329,0,0,0,1,0,0,1,0,1,1,32.27898
297,2,100,.3009354,.3174764,.2877492,0,0,0,0,1,0,0,1,0,0,32.27898
298,1,95,.3642029,.3842213,.322227,0,0,0,0,1,0,0,1,1,1,32.27898
299,1,50,.2707972,.2856816,.2558915,0,0,0,0,1,0,1,0,0,1,32.27898
300,2,109,.2890985,.3049889,.2784791,0,0,0,0,0,0,1,0,1,1,32.27898
301,2,109,.3516355,.3709632,.3472051,0,0,0,0,1,0,0,1,1,1,32.27898
302,1,30,.2947671,.310969,.2834363,0,0,0,1,1,0,0,1,0,1,32.27898
303,3,50,.2567904,.2709049,.255821,0,0,0,0,0,1,0,1,0,1,32.27898
304,1,30,.2621929,.2766044,.2487757,0,0,0,1,1,0,0,1,0,0,32.27898
305,3,50,.2873344,.3031278,.2743199,0,0,0,0,1,0,1,0,0,1,32.27898
306,2,126,.2954032,.31164,.29813,0,0,0,0,1,0,1,0,1,1,32.27898
343,2,100,.3279538,.3460462,.3755352,0,0,1,0,0,0,0,1,1,0,25.20679
344,1,20,.2659598,.280632,.2984495,0,0,1,0,0,0,0,1,0,0,25.20679
345,1,88.31,.2453468,.2588819,.2757434,0,0,1,0,0,0,0,1,0,0,25.20679
346,1,85.38,.2736606,.2887577,.3082923,0,0,1,1,1,0,0,1,0,0,25.20679
347,3,112.3,.2519091,.2658063,.286511,0,0,1,1,0,0,0,1,0,0,25.20679
348,3,50,.2918945,.3079975,.3414159,0,0,1,0,1,0,0,1,0,0,25.20679
349,1,40,.2519091,.2658063,.286511,0,0,1,0,1,0,0,1,0,0,25.20679
350,1,33.69,.2486153,.2623308,.2794795,0,0,1,0,0,0,0,1,0,0,25.20679
351,1,20,.2738644,.2889727,.3150133,0,0,1,0,1,0,0,1,0,0,25.20679
352,1,50,.2809874,.2964887,.3342591,0,0,1,1,0,0,0,1,0,0,25.20679
353,1,50,.2612321,.2756436,.2944099,0,0,1,0,1,0,0,1,0,0,25.20679
354,1,106.49,.2453468,.2588819,.2757434,0,0,1,0,0,0,0,1,0,1,25.20679
355,1,10,.2553561,.2694434,.2905467,0,0,1,0,0,0,0,1,0,0,25.20679
356,3,81.33,.2777333,.2930551,.3129699,0,0,1,0,0,0,0,1,0,0,25.20679
357,1,10,.2421631,.2555226,.2721059,0,0,1,0,1,0,0,1,0,0,25.20679
358,1,114.8,.2777333,.2930551,.3129699,0,0,1,0,1,0,0,1,0,1,25.20679
359,1,35,.2539437,.267953,.2817825,0,0,1,1,0,0,0,1,0,0,25.20679
360,1,10,.2815443,.2970764,.3289891,0,0,1,0,1,0,0,1,0,1,25.20679
397,3,91.56,.2851435,.3006967,.3209263,0,0,1,0,1,0,0,1,0,1,25.8991
398,1,20,.2449241,.2582836,.2747899,0,0,1,0,0,0,0,1,0,1,25.8991
399,1,15,.3131807,.3302632,.3590648,0,0,1,0,1,0,1,0,0,0,25.8991
400,1,30,.3101265,.3270425,.3552544,0,0,1,1,0,0,0,1,0,1,25.8991
401,1,101.99,.2729807,.2878706,.3133354,0,0,1,1,0,0,0,1,0,1,25.8991
402,1,50,.2866606,.3022967,.3223271,0,0,1,0,1,0,0,1,1,0,25.8991
403,1,20,.276414,.2914911,.3219641,0,0,1,0,0,0,1,0,0,1,25.8991
404,1,30,.2774951,.2926311,.2947365,0,0,1,0,0,0,0,1,0,1,25.8991
405,3,60,.2911396,.30702,.3375746,0,0,1,1,1,0,0,1,1,1,25.8991
406,1,107.63,.2906759,.306531,.3391697,0,0,1,0,1,0,0,1,0,1,25.8991
407,1,86.31,.2958069,.3119419,.3381531,0,0,1,1,1,0,1,0,1,1,25.8991
408,1,100.3,.2582675,.2723548,.2934126,0,0,1,0,1,0,0,1,0,1,25.8991
409,1,20,.2891161,.3048861,.337619,0,0,1,1,0,0,0,1,0,0,25.8991
410,1,20,.2922596,.308201,.349477,0,0,1,0,0,0,0,1,0,1,25.8991
411,1,80,.2727806,.2876595,.3067486,0,0,1,1,0,0,0,1,0,1,25.8991
412,3,35,.305157,.3218019,.3441384,0,0,1,1,0,0,0,1,1,1,25.8991
413,1,30,.2513878,.2650999,.2853733,0,0,1,0,1,0,0,1,0,1,25.8991
414,1,30,.269089,.2837665,.3086921,0,0,1,1,0,0,0,1,0,1,25.8991
451,1,15,.2758579,.2867731,.3043957,0,0,1,1,1,0,1,0,0,0,27.29726
452,2,120,.2637494,.2741855,.2921863,0,0,1,1,0,0,0,1,0,1,27.29726
453,2,120,.2927041,.304286,.3263172,0,0,1,0,0,0,0,1,0,1,27.29726
454,1,20,.2758579,.2867731,.3043957,0,0,1,1,1,0,0,1,0,1,27.29726
455,1,25,.3059216,.3180264,.3446626,0,0,1,0,0,0,1,0,1,1,27.29726
456,1,10,.2596408,.2699144,.2832384,0,0,1,0,0,0,0,1,0,1,27.29726
457,3,50,.3199625,.3326229,.3535055,0,0,1,0,0,0,1,0,1,1,27.29726
458,1,20,.2575606,.2677519,.2879913,0,0,1,0,0,0,0,1,0,1,27.29726
459,1,50,.2681056,.2787141,.2957129,0,0,1,0,0,0,0,1,0,0,27.29726
460,1,30,.2758579,.2867731,.3043957,0,0,1,1,0,0,1,0,0,0,27.29726
461,2,104.6,.2920315,.3035867,.3238183,0,0,1,1,0,0,0,1,0,1,27.29726
462,1,30,.2948948,.3065633,.3292662,0,0,1,0,0,0,0,1,1,1,27.29726
463,1,10,.2753963,.2862933,.3155887,0,0,1,0,0,0,0,1,0,0,27.29726
464,1,105.5,.2746439,.2855111,.3045236,0,0,1,1,1,0,0,1,0,1,27.29726
465,2,90.03,.2830298,.2942288,.3306284,0,0,1,1,1,0,0,1,0,0,27.29726
466,3,50,.268501,.2791251,.2970209,0,0,1,1,0,0,1,0,0,1,27.29726
467,1,20,.3278966,.340871,.3760257,0,0,1,1,1,0,0,1,1,1,27.29726
468,3,60,.3854169,.4006672,.4252823,0,0,1,1,1,0,0,1,1,0,27.29726
505,1,70,.3089136,.3195695,.3053556,0,0,0,1,1,0,0,1,1,0,32.70084
506,1,45.03,.2860613,.2959289,.2969622,0,0,0,0,1,0,1,0,0,1,32.70084
507,1,61.03,.2685438,.2778071,.2689742,0,0,0,0,1,0,0,1,0,1,32.70084
508,3,90,.2877263,.2976514,.2912835,0,0,0,0,1,0,0,1,0,0,32.70084
509,3,90,.2907856,.3008161,.3039488,0,0,0,0,0,0,0,1,0,1,32.70084
510,1,26.04,.2901587,.3001676,.3015329,0,0,0,0,1,0,1,0,0,0,32.70084
511,3,30,.2759948,.2855152,.2766597,0,0,0,0,1,0,0,1,0,0,32.70084
512,1,50,.2795384,.289181,.2761858,0,0,0,0,0,0,0,1,0,0,32.70084
513,1,30,.314364,.3252079,.3243728,0,0,0,0,1,0,0,0,0,0,32.70084
514,3,45.01,.2877263,.2976514,.2912835,0,0,0,0,0,0,1,0,0,0,32.70084
515,1,40,.2744472,.2839141,.2681989,0,0,0,0,0,0,1,0,0,0,32.70084
516,1,60,.3095525,.3202305,.3122641,0,0,0,1,0,1,0,1,1,0,32.70084
517,1,50,.2956751,.3058744,.3040037,0,0,0,0,0,0,1,0,0,0,32.70084
518,1,61,.3151595,.3260309,.332953,0,0,0,1,0,0,0,1,1,0,32.70084
519,1,60,.3273103,.3386008,.3256342,0,0,0,0,0,1,0,1,1,1,32.70084
520,3,40,.2722183,.2816084,.2727628,0,0,0,0,1,0,0,1,0,0,32.70084
521,1,61.02,.2907856,.3008161,.3039488,0,0,0,0,1,0,0,1,0,1,32.70084
522,1,40,.2650324,.2741747,.262373,0,0,0,0,0,0,0,1,0,0,32.70084
559,1,101.03,.2788681,.2940846,.2694298,0,0,0,0,0,0,1,0,0,1,31.52537
560,1,90,.291131,.3070166,.2744647,0,0,0,0,1,0,0,1,1,1,31.52537
561,1,25,.2651686,.2796376,.2544847,0,0,0,1,1,0,0,1,0,0,31.52537
563,1,100,.3049983,.3216406,.2879108,0,0,0,1,1,0,0,1,0,1,31.52537
564,3,79,.3052936,.321952,.294387,0,0,0,1,0,0,1,0,0,0,31.52537
565,3,30,.291168,.3070556,.2811908,0,0,0,0,0,0,1,0,0,0,31.52537
567,1,20,.2656347,.2801291,.23654,0,0,0,0,1,0,0,1,0,1,31.52537
568,3,80,.2782826,.2934671,.268208,0,0,0,0,0,0,1,0,0,0,31.52537
569,3,130,.2956532,.3117855,.2829034,0,0,0,0,1,0,0,1,1,0,31.52537
570,1,107.98,.2798299,.2950989,.2779008,0,0,0,1,1,0,0,1,0,0,31.52537
571,3,50,.4279832,.4513362,.3722967,0,0,0,0,1,0,1,0,1,0,31.52537
572,1,40,.2827137,.29814,.2641068,0,0,0,1,1,0,0,1,1,0,31.52537
573,3,30,.283564,.2990368,.2676145,0,0,0,0,0,0,0,0,0,0,31.52537
574,1,120,.3646536,.384551,.3506787,0,0,0,1,0,0,0,1,1,0,31.52537
575,2,20,.2767402,.2918406,.2596637,0,0,0,0,0,0,0,1,0,0,31.52537
576,3,35,.2889658,.3047333,.2824566,0,0,0,0,1,0,0,1,0,0,31.52537
613,3,110,.264016,.278689,.2582155,0,0,0,0,1,0,1,0,0,0,28.15373
614,2,60,.2896568,.3057549,.2884054,0,0,0,0,0,0,1,0,0,0,28.15373
615,3,20,.2466486,.2603564,.2387098,0,0,0,0,1,0,0,1,0,0,28.15373
616,3,50,.2678344,.2827196,.2620996,0,0,0,1,1,0,1,0,0,1,28.15373
617,1,50,.2716642,.2867623,.2596231,0,0,0,1,0,0,0,1,0,1,28.15373
618,3,10,.2605284,.2750075,.2525491,0,0,0,0,0,0,0,1,0,1,28.15373
619,3,50,.2603049,.2747717,.2544449,0,0,0,0,1,0,1,0,0,1,28.15373
620,1,15,.3392763,.3581319,.3407575,0,0,0,0,1,0,1,0,0,0,28.15373
621,3,67,.2758125,.2911411,.2702292,0,0,0,0,0,0,1,0,0,1,28.15373
622,1,50,.2538881,.2679982,.2557411,0,0,0,1,0,0,1,0,0,0,28.15373
623,2,25,.2683188,.283231,.2431023,0,0,0,0,1,0,0,1,0,0,28.15373
624,3,91.01,.3182433,.33593,.3160088,0,0,0,0,0,0,1,0,1,0,28.15373
625,1,30,.2775281,.2929521,.2640656,0,0,0,1,1,0,0,0,1,0,28.15373
626,3,20,.25362,.2677152,.2302525,0,0,0,0,1,0,0,1,0,0,28.15373
627,1,30,.2599015,.2743458,.2474768,0,0,0,1,1,0,1,0,0,0,28.15373
628,1,80,.313533,.330958,.302189,0,0,0,1,1,0,0,1,1,0,28.15373
629,2,15,.2519969,.2660019,.2380311,0,0,0,0,1,0,0,1,0,0,28.15373
630,1,10,.256914,.2711923,.248941,0,0,0,0,1,0,1,0,0,0,28.15373
667,1,20,.3051317,.3225209,.343555,0,0,1,0,0,0,1,0,0,0,29.7076
668,1,30,.2768215,.2925974,.3203263,0,0,1,0,1,0,0,1,0,0,29.7076
669,1,100,.2881895,.3046132,.3450875,0,0,1,0,0,0,0,1,0,0,29.7076
670,1,80,.2516354,.2659759,.2846761,0,0,1,1,1,0,0,1,0,0,29.7076
671,1,60,.2844691,.3006807,.3343147,0,0,1,1,0,0,0,1,0,0,29.7076
672,1,130,.2808839,.2968912,.3252182,0,0,1,0,0,0,0,1,0,1,29.7076
673,1,20,.2689439,.2842708,.3037232,0,0,1,0,0,0,0,1,0,0,29.7076
674,1,30,.3051317,.3225209,.343555,0,0,1,0,0,0,0,1,0,0,29.7076
675,1,70,.2803031,.2962773,.3291474,0,0,1,0,1,0,1,0,0,1,29.7076
676,1,80,.3772691,.3987694,.4373164,0,0,1,1,1,0,0,1,1,0,29.7076
677,1,20,.2887608,.305217,.3396468,0,0,1,0,1,0,0,1,0,0,29.7076
678,1,20,.2958169,.3126752,.3381854,0,0,1,1,1,0,0,1,1,0,29.7076
679,1,10,.2767204,.2924905,.3126413,0,0,1,1,1,0,0,1,0,0,29.7076
680,1,30,.2850673,.3013131,.3302619,0,0,1,1,0,0,1,0,0,0,29.7076
681,1,80,.3629606,.3836454,.4200638,0,0,1,1,1,0,0,1,1,0,29.7076
682,1,60,.2967821,.3136955,.3166491,0,0,1,0,1,0,1,0,0,0,29.7076
683,1,63.4,.2953807,.3122142,.3353859,0,0,1,1,1,0,0,1,1,0,29.7076
684,1,20,.2844691,.3006807,.3343147,0,0,1,1,1,0,1,0,0,0,29.7076
721,1,80,.3092988,.3203491,.3543896,0,0,1,0,0,0,0,1,0,0,28.02414
722,1,50,.2657591,.2752539,.2982193,0,0,1,1,0,0,0,1,0,0,28.02414
723,1,55,.2771485,.2870502,.3241375,0,0,1,0,0,0,0,1,0,1,28.02414
724,1,50,.2853867,.2955827,.3343147,0,0,1,0,1,0,0,1,0,0,28.02414
725,1,135.89,.2841319,.2942831,.3367812,0,0,1,0,1,0,0,1,0,1,28.02414
726,1,50,.2853867,.2955827,.3343147,0,0,1,1,1,0,0,1,0,0,28.02414
727,1,50,.2648974,.2743614,.29494,0,0,1,1,0,0,0,1,0,0,28.02414
728,1,20,.28179,.2918575,.3252182,0,0,1,0,1,0,0,1,0,0,28.02414
729,1,50,.2557472,.2648842,.2917403,0,0,1,0,0,0,0,1,0,0,28.02414
730,3,30,.269489,.279117,.3024549,0,0,1,1,1,0,0,1,0,0,28.02414
731,1,15,.2657591,.2752539,.2982193,0,0,1,1,0,0,0,1,0,0,28.02414
732,1,40,.2967711,.3073739,.3381854,0,0,1,1,0,0,0,1,1,0,28.02414
733,1,45,.2859869,.2962043,.3302619,0,0,1,0,0,0,0,1,0,0,28.02414
734,1,40,.2777145,.2876364,.3203263,0,0,1,0,1,0,0,1,0,0,28.02414
735,1,100,.292523,.3029739,.3291845,0,0,1,0,0,0,0,1,0,1,28.02414
736,1,100,.2760461,.2859084,.3136823,0,0,1,0,0,0,0,1,1,0,28.02414
737,1,50,.2627461,.2721332,.2999589,0,0,1,0,0,0,0,1,0,0,28.02414
738,3,115.14,.280074,.2900802,.3245693,0,0,1,1,0,0,0,1,1,0,28.02414
775,3,60,.2996741,.3116831,.3548428,0,0,1,0,0,0,0,1,0,1,27.63281
776,3,20,.2518837,.2619775,.2957925,0,0,1,0,0,0,1,0,0,0,27.63281
777,2,100,.3020352,.3141388,.3521797,0,0,1,0,0,0,0,1,1,1,27.63281
778,1,30,.3628316,.3773715,.3936882,0,0,1,0,0,0,1,0,1,1,27.63281
779,3,20,.2518837,.2619775,.2957925,0,0,1,0,0,0,0,1,0,0,27.63281
780,1,80,.2697776,.2805885,.3126413,0,0,1,0,0,0,0,1,0,0,27.63281
781,1,105,.2738366,.2848102,.3252182,0,0,1,0,1,0,0,1,0,1,27.63281
782,1,101,.3197801,.3325948,.3756629,0,0,1,0,0,0,0,1,1,0,27.63281
783,1,15,.2993391,.3113346,.348939,0,0,1,0,1,0,1,0,0,1,27.63281
784,1,20,.253918,.2640933,.2909108,0,0,1,1,1,0,0,1,0,1,27.63281
785,1,10,.2621962,.2727033,.3037232,0,0,1,0,0,0,1,0,0,0,27.63281
786,1,30,.2712594,.2821297,.3227729,0,0,1,0,1,0,1,0,0,0,27.63281
787,1,50,.2736329,.2845984,.3182794,0,0,1,1,1,0,1,0,0,1,27.63281
788,1,80,.2845301,.2959322,.3513791,0,0,1,0,0,0,0,1,0,1,27.63281
789,1,30,.2843774,.2957734,.3476503,0,0,1,0,1,0,1,0,0,0,27.63281
790,3,10,.2821168,.2934223,.3354645,0,0,1,0,0,0,1,0,0,0,27.63281
791,1,50,.2576636,.2679891,.2997188,0,0,1,0,1,0,1,0,0,1,27.63281
792,1,30,.2513021,.2613727,.2900944,0,0,1,0,1,0,0,1,0,0,27.63281
829,3,60.01,.2566244,.2661326,.2515075,0,0,0,1,0,0,0,1,0,0,28.65772
830,1,20,.2402316,.2491324,.2297852,0,0,0,1,1,0,0,1,0,0,28.65772
831,1,120.03,.2895373,.3002649,.2853886,0,0,0,1,0,0,0,1,1,0,28.65772
832,2,30.02,.2498999,.2591589,.2419498,0,0,0,0,0,0,1,0,0,0,28.65772
833,1,50,.3292573,.3414566,.3276576,0,0,0,0,1,0,1,0,0,0,28.65772
834,2,100,.353108,.366191,.3161804,0,0,0,0,0,0,1,0,1,0,28.65772
835,1,20.01,.2499624,.2592237,.2392536,0,0,0,0,0,0,0,1,0,0,28.65772
836,3,67,.3322831,.3445944,.3203277,0,0,0,1,0,0,0,1,1,0,28.65772
837,1,50,.3107905,.3223056,.2839864,0,0,0,0,1,0,1,0,0,1,28.65772
838,3,86,.2835769,.2940837,.2823242,0,0,0,0,1,0,0,1,0,0,28.65772
839,1,50,.2656031,.2754439,.25567,0,0,0,0,1,0,0,1,1,0,28.65772
840,3,23.26,.407348,.4224406,.3998804,0,0,0,0,0,0,0,1,1,1,28.65772
841,1,60,.2866603,.2972812,.2922401,0,0,0,1,0,0,0,1,0,0,28.65772
842,3,72.9,.2996002,.3107007,.2942489,0,0,0,0,1,0,1,0,0,0,28.65772
843,2,36,.2627607,.2724962,.252178,0,0,0,0,0,0,1,0,0,0,28.65772
844,3,50,.359974,.3733114,.3220257,0,0,0,0,1,0,1,0,1,0,28.65772
845,1,40,.2798949,.2902653,.2744004,0,0,0,1,0,0,0,1,0,0,28.65772
846,1,20.01,.3143857,.3260339,.3198864,0,0,0,0,1,0,0,1,0,1,28.65772
883,3,30,.3091269,.3205802,.2644189,0,0,0,0,1,0,1,0,0,1,27.86243
884,1,60,.2662012,.2760642,.2374287,0,0,0,0,1,0,0,1,0,1,27.86243
885,3,61,.2570613,.2665856,.2073305,0,0,0,0,0,0,0,1,0,1,27.86243
886,3,20,.2879883,.2986585,.2550715,0,0,0,1,1,0,0,1,0,0,27.86243
887,3,70.93,.2900984,.3008468,.2476933,0,0,0,0,1,0,0,1,1,1,27.86243
888,1,41,.266475,.2763481,.2273967,0,0,0,1,0,0,0,1,0,1,27.86243
889,3,30,.2591485,.2687502,.2209804,0,0,0,0,1,0,0,1,0,0,27.86243
890,1,30,.2639335,.2737124,.2294373,0,0,0,0,0,0,0,1,0,0,27.86243
891,3,10,.3487503,.3616718,.3037112,0,0,0,0,0,0,0,1,0,0,27.86243
892,3,30,.2402316,.2491324,.2042393,0,0,0,0,1,0,0,1,0,0,27.86243
893,1,105,.2570613,.2665856,.2073305,0,0,0,1,1,0,0,1,0,0,27.86243
894,3,41.01,.2533194,.262705,.2180807,0,0,0,0,1,0,1,0,0,0,27.86243
