consumerid,choice,value_total,pg_km_adj,pgmidgrade_km_adj,pe_km_adj,dv_ctb,dv_bh,dv_rec,dv_female,dv_age_25to40y,dv_age_morethan65y,dv_somesecondary,dv_somecollege,dv_carpriceadj_p75p100,dv_usageveh_p75p100,stationvisit_avgcarprice_adj
19,1,61.02,.2535174,.2629104,.2591988,0,0,0,1,1,0,0,1,0,0,30.71706
20,3,30,.3082464,.3196672,.3145513,0,0,0,0,0,0,0,1,1,0,30.71706
21,1,116,.2472283,.2563883,.2623814,0,0,0,0,1,0,0,1,0,0,30.71706
22,3,30,.2678622,.2777867,.2701578,0,0,0,0,1,0,0,1,0,0,30.71706
23,3,40,.2773813,.2876585,.288954,0,0,0,1,1,0,0,1,1,0,30.71706
24,1,30,.2776583,.2879457,.2788748,0,0,0,0,0,0,1,0,1,0,30.71706
25,1,85.11,.2669078,.276797,.2843706,0,0,0,0,0,0,0,1,0,0,30.71706
26,1,20,.2953639,.3063074,.2968709,0,0,0,1,0,0,0,1,0,0,30.71706
27,1,50,.2776583,.2879457,.2788748,0,0,0,0,1,0,0,1,1,1,30.71706
28,1,63.02,.2608847,.2705507,.2497664,0,0,0,1,1,0,0,1,0,1,30.71706
29,1,30,.2572622,.266794,.2464218,0,0,0,0,0,0,1,0,0,0,30.71706
30,1,66.15,.2404194,.2493271,.2427477,0,0,0,0,1,0,1,0,0,1,30.71706
31,1,41.03,.3363505,.3488126,.3473473,0,0,0,0,1,0,0,1,1,0,30.71706
32,1,108.42,.2666833,.2765642,.2702713,0,0,0,0,1,0,0,1,0,0,30.71706
33,1,50,.2625754,.2723041,.2671227,0,0,0,0,0,0,0,1,1,1,30.71706
34,1,50,.3602555,.3736032,.3401916,0,0,0,1,1,0,0,1,1,0,30.71706
35,1,50,.2548034,.2642441,.2572809,0,0,0,0,1,0,0,1,0,0,30.71706
36,1,50,.281496,.2919257,.2851308,0,0,0,1,0,0,0,1,1,0,30.71706
73,3,20,.2555931,.265063,.2548619,0,0,0,0,0,0,0,1,0,0,30.77617
74,3,40,.2882868,.298968,.2967359,0,0,0,0,0,0,0,1,1,1,30.77617
75,1,40,.3024029,.3136072,.3118206,0,0,0,0,1,0,0,1,0,0,30.77617
76,1,90,.3748322,.3887201,.3532528,0,0,0,1,1,0,0,1,1,0,30.77617
77,1,15,.2540072,.2634183,.2700834,0,0,0,0,0,0,1,0,0,0,30.77617
78,1,29,.2919216,.3027376,.2941897,0,0,0,0,1,0,0,1,0,0,30.77617
79,3,50,.3238582,.3358574,.3398229,0,0,0,0,1,0,1,0,1,0,30.77617
